No,Well_Job_ID,API Number,Operator,Contractor,DSRE,DSR,TMLDR,Discard Ratio,TLML,Down_Loss,Evap_Loss,Total_SCE,Total_Dil,ROP,Temp,Well_Name,Well_Coord_Lon,Well_Coord_Lat,flowline_Shakers,DOW,IntLength,AMW,Drilling_Hours,Haul_OFF,Base_Oil,Water,Weight_Material,Chemicals,Reserve_Adds,TD_Date,Hole_Size,Dilution_Ratio,Dil_Per_Hole_Vol_Ratio,Solids_Generated,Average_LGS%,IsReviewed,Basin,DI Basin,AAPG Geologic Province,MD Depth,County Code,State Code
0,40,3.50E+13,Continental Resources,H&P 545,0.865085371,892.755937,1.283570047,2.287496633,4392.9,270,309.1,2042.1762,4392.9,37.5137407,152.6521739,Betty Lou 1-5-32XH,-98.39655,35.88549,Derrick Hyperpool,25,11603,14.975,309.3,2934.932137,1031,732.6,697.9,258.5,1672.9,13-08-2017,8.75,1.331912496,3.001769708,906.132137,0.06412,1,,ANADARKO,ANADARKO BASIN,20405,11,35
1,207,,EQT Corporation,Pioneer 72 ,0.79374112,940.7507318,1,1.52884541,2352.53,0,0,1438.262438,2352.53,125.5671902,107.6666667,596169 (12H),,,Brandt King Cobra,6,14390,12.9,114.6,2379.01317,965.05,220,297.45,139.37,730.66,15-12-2018,8.5,1.12765929,1.52936892,1060.48317,0.100883333,1,,,,,,
2,208,,EQT Corporation,Pioneer 72 ,0.803776585,916.1222314,1,1.915634115,2491.58,0,0,1754.955,2491.58,102.2539683,97.5,596143 (6H),,,Derrick 806,6,12884,13,126,2671.077231,1222.48,157,519.64,152.46,440,31-12-2018,8.5,1.169021428,2.160701403,949.4972314,0.106416667,1,,,,,,
3,209,,EQT Corporation,Pioneer 72 ,0.82426411,1075.415434,1,1.849668638,2717.14,0,0,1989.1622,2717.14,126.5822785,103.6,596142 (4H),,,Derrick 806,5,15000,13,118.5,3064.577634,1016.24,234,453.15,158.75,855,10/1/2019 0:00,8.5,0.936142865,1.684527416,1105.437634,0.10576,1,,,,,,
4,211,,EQT Corporation,Pioneer 72 ,0.832926183,1126.678543,1,1.170478135,2302.76,0,0,1318.7526,2302.76,149.2716535,102.3333333,596141 (2H),,,Derrick 806,6,15166,13.075,101.6,2445.431143,603.32,136,346.41,167.03,1050,24-01-2019,8.5,0.949958317,1.120866372,1117.671143,0.1048,1,,,,,,
5,269,3.50E+13,Continental Resources,Precision 581,0.777731845,545.9424044,1.0326567,2.366973127,1525.3,0,42.2,1292.231,1525.3,51.61205767,122.0909091,Dicksion W3-21H,-97.616717,34.711386,Brandt King Cobra,12,7876,9.9,152.6,1838.173404,1063.9,58.6,96.6,132.2,174,7/11/2017 0:00,8.75,1.045710867,2.196973549,615.0734044,0.057833333,1,,ANADARKO,SOUTH OKLAHOMA FOLDED BELT,7876,49,35
6,270,3.50E+13,Continental Resources,Precision 581,0.77122363,588.6446456,1.049037418,3.04861008,2026.5,0,88,1794.548,2026.5,53.10126582,124,Dicksion W4-21H,-97.616609,34.71137,Brandt King Cobra,11,7551,10.125,142.2,2383.192646,1365.9,101,66.2,219.4,274,26-11-2017,8.75,0.97656903,2.971887157,589.6926456,0.082181818,1,,ANADARKO,SOUTH OKLAHOMA FOLDED BELT,7551,49,35
7,367,,EQT Corporation,Pioneer 72 ,0.83852677,1092.232624,1,1.4060784,2569.8,0,0,1535.7647,2569.8,563.52,97.42857143,596170 (10H),,,Brandt King Cobra,7,14088,13.325,25,2627.997324,810.6,146,308.4,125.8,1179,3/12/2018 0:00,8.75,0.90560748,1.264136869,1100.197324,0.093328571,1,,,,,,
8,368,,EQT Corporation,Pioneer 72 ,0.845070857,1066.729356,1,1.434815299,2456.8,0,0,1530.5596,2456.8,549.84,103.25,596171 (8H),,,Brandt King Cobra,8,13746,13.125,25,2597.288956,828.9,140,409.7,129.2,949,23-11-2018,8.75,0.985129883,1.404578959,1073.488956,0.1047125,1,,,,,,
9,369,,EQT Corporation,Pioneer 72 ,0.848792936,1110.731759,1,1.368283465,3020.9,0,0,1519.7959,3020.9,572.96,99,596172 (6H),,,Brandt King Cobra,6,14324,12.75,25,2630.527659,782.3,242,321,397.6,1278,12/11/2018 0:00,8.75,1.146798725,1.558069824,1118.627659,0.095216667,1,,,,,,
